idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
1640	1534	A*	Barber Substituted for Smith at Execution	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A smith commits a crime & is condemned to death. The villagers complain to the judge (mayor) that they cannot manage without the smith. They ask him to execute a barber instead, because they have two of those.
1641	1534	D*	Sham Dumb Man Wins Suit	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A trickster (farmer) (carrying a tall tree) calls to a (rich) man to get out of the way. The man refuses & the trickster overturns his wagon (tears his clothes). The rich man brings him before a magistrate. The trickster pretends to be mute (is too afraid to speak). The angry plaintif protests that the man is not dumb, & that he had given him a loud warning. Thus the plaintif loses his case, because he did not heed the man’s warning.
1642	1534	E*	Good Decision.	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	Two men bring their argument before a judge. The judge hears one side of the case & decides that it is right. Then he hears the other side & decides that it too is right. When someone complains that both sides cannot be right, the judge says, “You are right too”.
1643	1534	Z*	Other Absurd Decisions	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	Misc. type with diverse variants.
1644	1535	-	The Rich & the Poor Farmer	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	(Unibos.) This tale often begins with one of the following episodes: (1) The family of a poor man (farmer) kills their only cow (two oxen) & uses all their flour to bake bread. They invite all the vil-lagers to a big dinner. The family waits in vain for a return invitation from the guests. (2) A rich man kills his poor brother’s only horse, & gives him its skin. Main part: The poor man goes to the city to sell the cowhide (oxhide, horse-hide). During the night he discovers the innkeeper’s wife with her lover & threatens to expose them. They bribe him not to tell. Or, a merchant believes that the poor man’s sacks of refuse contain valu-ables. The merchant takes the sacks, & in return leaves his goods for the poor man. Back at home, the poor man tells his rich brother (the villagers) that he received all the money for the animal hide (the refuse). The brother (villagers) kills all his cattle in order to sell their hides, & im poverishes himself (tries to sell refuse & is beaten). In some variants the rich man is angry & tries to kill his brother, but instead he kills an old relative (dead man) who is lying in his place in bed. The poor man takes the corpse away, & convinces an innocent man that he killed the person. This man bribes the poor man not to tell. Then the poor man claims that he had sold the corpse. The rich man kills all his relatives, hoping tsell their corpses. He is put in prison & set free after he serves his sentence. Still angry, he tries to drown his brother. The poor brother, con-fined in a sack (chest), finds a passerby (shepherd, rich lord) who is willing to trade places with him. After this person has been thrown into the water, the poor man comes back to the village with the sheep (horse, riches) & claims he found them under the water. The jealous rich man (the villagers) jumps into the water & drowns.
1645	1536	-	Disposing of the Corpse	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	The motif of having to get rid of a corpse appears in a series of different narratives. It has different results depending on its situation in the tale.
1646	1536	A	The Woman in the Chest	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A poor brother (neighbor, sexton) steals a hog (cow, food) from his rich brother (neighbor, clergyman). The rich man suspects his brother, but wants to be certain, so he hides his mother-in-law (mother, wife, cook) in a chest (cupboard) in his broth er’s house to spy. The woman confirms the rich man’s suspicion & cries out (curses, makes noise). The poor brother opens the chest, strangles the woman (kills her in some other way), & puts some food (cheese, meat, sausage, bread) in her mouth. The rich brother opens the chest, sees that the woman is dead, & thinks she has suffocated. He wants to keep her death secret & bribes the poor brother not to tell any one & to bury her. Later, the poor brother digs her up at night (keeping some of her valuables) & sets her body at his brother’s door, where it falls over when the door is opened in the morning. The rich brother thinks the corpse has returned to haunt him. He pays his poor brother more money to bury the corpse again (often three or four times), but it turns up in the barn, close to the well, on a foal that follows the rich man, etc. The poor man gets so much money (cattle, provisions) for reburying the body that he becomes as rich as (richer than) his brother.
1647	1536	B	The Three Hunchback Brothers Drowned	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	There are two parts to this tale. The first part exists in two forms, but the second part is largely the same. (1) Three hunchbacked musicians are asked by the wife of another hunchbacked man to play some music. (One of the three hunch-backed brothers marries a rich widow, & his poor brothers visit her uninvited.) The husband unexpectedly comes home. The musi-cians hide in a chest (oven, cellar), where they die (kill each other). (2) Three monks (clergymen, knights, students) court a beautiful woman. On the advice of her husband, she invites them to visit her. The visit of the first lover is interrupted by that of the second, etc., & they hide in a chest (oven, cellar). The third lover hides when the husband arrives. The husband kills them in their hiding place. A drunken man (stupid farmhand, farmer, porter, undertaker, beggar, soldier, the devil) is employed to dump one of the dead bodies into the river (to bury it). When he returns, he finds the second body in the same place as if it had come back from the dead, & then the third. After he gets rid of all three bodies, he meets the hunch backed husband (another monk, clergyman, knight) and, think ing that this is another revenant, kills him & dumps him into the river (buries him) also.
1648	1536	C	The Murdered Lover	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A woman wants to meet her lover without her husband’s knowledge. She asks a neighbor (God, saint) for advice, & is told (by her husband hiding in the church or behind the saint’s picture) that she should give her husband a particular food that will make him blind (and deaf). She does so & he pretends to be blind. When the wife receives her lover, her husband finds an oppor tunity to kill him (and puts some food in his mouth to make it look as if he choked on it). The husband brings the body of the lover back home (to a shop, inn) & asks in a disguised voice if he may come in. The wife (the shopkeeper) thinks her husband (a drunk) is at the door, & tells him to spend the night with his mistress (to go home). The woman refuses to open the door even when the man says he will die (hang himself). The husband leans the corpse against the door (hangs it on the door). In some variants the woman (repeatedly) has the body delivered to another place where it is “killed” again by someone else (thief, etc.).
1649	1537	-	The Corpse Killed Five Times	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A certain woman’s lover (often a clergyman or a monk) is killed by her angry husband, or a man (clergyman, occasionally a woman) is killed by accident (on purpose, is murdered). The wife (married couple, bystanders, murderer) secretly leaves the body by the neighbors’ door. The neighbor thinks it is a robber (adulterer) & “kills” it again. To cover up this murder, the neighbor takes the body to a monastery (and puts it in the abbot’s room, or on a toilet), where it is “killed ” again because it will not speak. This “murderer” puts the body into a sack & throws it into the river. Fishermen find it & hang it in a shop (put it in a boat or on a sledge, or tie it on a horse & drive it into a field or into a crockery shop), & the shopkeeper “kills”’ it again. Often the trickster (the first murderer) blackmails the subsequent “murderers” for not exposing their “murders”.
1650	1537	*	Corpse's Legs Left	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A soldier finds a corpse & cuts off its legs. He stays overnight with a rich farmer, & goes away early the next morn ing leaving the legs. A comrade of the soldier accuses the farmer of murder & blackmails him
1651	1538	-	Revenge of the Cheated Man	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A youth (farmer, fool) goes to the market to sell cattle (fowl, eggs). On the way he meets a trickster (monk, robber, landlord, judge) who convinces him that his cattle are not worth very much. He sells (is compelled to sell) them for a very low price The youth resolves to revenge himself on the trickster. He dis-guises himself as a beggar-woman (bride, carpenter, woodcutter, builder) & tricks him so that the trickster lets himself be tied to a tree & the youth is able to beat him. The trickster goes to get medical help. The youth disguises himself as a doctor & beats him again (in a monastery, bathhouse, robbers’ den). In the end the youth takes his cattle back & also gets some money. In some variants, instead of one trickster, the youth takes revenge on many (seven, twelve, forty).
1652	1538	*	The Jester as Bride	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A witty fellow (trickster) dresses himself in his sister’s clothes & works as a servant girl (employee) to a clergyman (master). The son of a rich man (mayor) chooses him as his bride & prefers him to the priest’s daughters, because only he is able to pass a test of feminity (is the cleverest of the girls). On the wedding night a rope is tied to the “bride”s’ leg. He frees himself, ties a goat (ram) to the end of the rope, & goes away. Then he returns wearing his own clothes & demands compensation for his sister’s having been turned into a goat. In some variants the bridegroom discovers that his bride is a man & leaves town. The groom’s parents bribe the “servant girl” not to tell what happened.
1653	1539	-	Cleverness & Gullibility	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	Three students (butchers, rascals) convince a farmer (fool, trickster) that his cow (donkey, mule, ox) is a goat (hen, donkey), so he sells the animal cheaply. (In variants from southern & eastern Europe, the farmer is persuaded to cut off the animal’s horns, ears, & tail in order to get a better price.) The farmer pays in advance at three inns & invites the students to eat with him. Instead of paying, he turns his hat around three times (hits it on the table, throws it on the floor, rings a bell), & the innkeeper says that the bill has been settled. The students buy the hat for a high price. When they try to use it, they discover the trick. (Variants from central Europe end here.) When the students come back for revenge, the farmer pretends to be dead. His wife (occasionally the students) revives him with a stick. (Or, the farmer ties a skin filled with blood under his wife’s clothes & pretends to kill her.) He revives her with a “magic wand” (flute, violin, knife), which he sells to the students. The students kill their wives (mothers) but cannot revive them. They put the farmer into a sack (cask) to be drowned, but he trades places with a herdsman who comes by. By pretending to have found the herd of cattle on the bottom of the sea, the farmer induces his greedy adversaries to jump into the water. In variants from southern & eastern Europe, after the intro-duction in which the animal is mutilated, the farmer puts coins in the anus of his donkey (horse, cow) or mixes them with its dung. He sells the animal as a gold-producer (and says that the animal must remain in its stall for two weeks or forty days. The animal dies.). In some versions, the farmer sells his adversaries supposedly wonderful objects, e.g. a messenger rabbit, a pot that cooks by itself, a pick that locates gold, a rifle that always hits its mark, or a self-propelled sled. Or the farmer promises to teach them to speak Latin & cuts their tongues off. Some variants end with the farmer buried alive. When his adversaries come to rob the grave, he brands them or cuts off their genitals (noses).
1654	1539	A*	Closing Up the Wine Cask.	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A master (landlord) makes up a pretext to send a boy (a farmer) who has offended him to the wine cellar, where the servant is supposed to give him a beating. When the boy sees the servant, he pulls the bung out of the wine cask so that the servant has to use his thumb to close it up. The boy beats him up & runs away, taking bacon (sausage), bread, & a jug of wine with him. In some variants, a guest tries to cheat an innkeeper (leaves with-out paying his bill) who has boasted to him that such a thing had never happened to her. He tells her that he can draw both red & white (any kind of) wine from the same cask. He bores two holes in one cask & tells her to stop them with her thumbs while he goes upstairs to get a glass (some glasses). He leaves & does not come back, so the innkeeper has to wait until her husband comes to rescue her.
1655	1540	-	The Student from Paradise (Paris)	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A student (beggar, traveler, clergyman) tells a (foolish) woman that he comes from Paris. She understands this to be Paradise. (Or, he sings, “I come from heaven”, or says he comes from the beyond or is a messenger from hell). The wife tells him that her husband (son) died shortly before. The stu-dent claims to have met him in paradise (hell) & tells her that her husband needs certain things. The wife gives the student money (clothes, food, horse, etc.) to take to her husband. The oldest son (brother-in-law, husband) goes after the trickster to retreive the moeny. The Trickster steals his horse (the son runs his own horse to death).
1656	1540	A*	Lady Sends Pig as Wedding Hostess	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A trickster (farmer) tells a foolish woman (lady) that he has come to invite her hog to a wedding. She puts a gold necklace on the hog & lets him take it. (She also gives him a horse & coach to transport the animal.) In some variants her husband sets out after the man hoping to re trieve the hog. The trickster manages to steal his horse.
1657	1541	-	For the Long Winter	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A man (farmer) has accumulated a store of pro visions (saved some money, good clothing, or a sausage). His stupid wife reproaches him with this, & he says that it is for the long winter (spring, emergencies, a good day). Later, when he is away, a trickster (beggar) comes to the woman & says (in answer to her question) that he is the long winter. (He greets her with “Good day”, & she thinks that is his name.) The wife gives him the provisions.
1658	1541	**	The Student Betrays the Shoemakers	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A student (Gypsy) orders the same kind of new shoes (boots) from two shoemakers. He tries on those of the first shoemaker & says that the left shoe needs adjustment, & keeps the right shoe. He goes to the second shoemaker & says that the right shoe needs adjustment, & keeps the left. He leaves town with one shoe from each shoemaker, without having paid for them.
1659	1541	***	"Today for Money, Tomorrow for None"	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A barber (innkeeper) hangs out a sign, “Today for money, tomorrow for none”, meaning that the shop is about to go out of business. Customers wait a day & think, they will not have to pay. The proprietor throws them out
1660	1542	-	The Clever Boy	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	The king challenges the trickster Peik (Eulenspiegel, Abū Nuwās, Aldar Iwan, Nasreddin Hodja, Toba, etc.) to play a trick on him.Peik borrows the king’s horse to go home & get his fooling sticks (book of lies, trickster’s secrets). Instead of coming back, he sells the horse. When next he meets the king, Peik sells the king a cooking pot that is supposed to cook without fire. Later, Peik pretends to stab his sister, who has hidden a blood-filled bladder under her clothes. He “revives” her with a supposedly-magic flute, which he sells to the king. The king kills one of his daughters but cannot revive her with the flute. Peik wears his sister’s clothes & is engaged as a lady-in-waiting in the king’s court. A prince wants to marry him, but Peik flees on the wedding night. (He is found to be responsible for the preg nancy of the princess. Peik is sentenced to death & is to be drowned in a sack (cask). He tricks someone else into taking his place. The king forgives Peik & makes him his son-in-law.
1661	1542	*	Sailor Substitute	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A woman loves a sailor, but she will only kiss him in the dark. His captain hears about this, disguises himself as the sailor, & sleeps with the woman. The woman marries the sailor. He is surprised that his wife has a baby six months later.
1662	1542	**	The Maiden's Honor	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A mother tells her daughter to take care not to lose her honor (virginity). A tailor offers to “sew up” the daughter’s honor. In some variants, the tailor sleeps with the daughter (repeatedly), & then says he cannot sew her up because he does not have enough thread. She asks him, what about the spool(s) he has behind his needle (penis).
1663	1543	-	Not One Penny Less	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	This tale exists chiefly in two different forms: (1) A poor man (soldier, youth) prays to a saint’s picture for a certain amount of money, promising to give back double that amount at the end of a month. The sexton overhears and, hoping for the large repayment, gives the poor man what he asked for. The sexton claims to be the messenger of the saint, but the poor man refuses to repay the money to him. (2) A poor man (journeyman, farmhand, sexton, trickster) asks God (a saint) for a certain sum of money, no more & no less. A rich man (master, gentleman, priest, Jew) tests him by giving him (as a joke) 99 (999) instead of 100 (1000) (gold) coins. The poor man ac cepts them, saying, “Whoever gave me these will surely give me the last one too”, (he counts the value of the purse as the missing coin, adds a coin of his own). He refuses to pay back the money & makes blasphemous excuses (God is old & forgetful, or He cannot count) Often the tale continues: The lender goes to a judge in order to force the poor man to repay his money. Before the case is tried, the poor man tricks the lender out of his overcoat, shoes, & often his horse. Even the judge is tricked by the poor man, who makes the lender so suspicious that the judge thinks he must be insane. On his way home, the poor man meets someone who says he is the Son of God. The poor man demands that he give him the missing coin which his father had overlooked.
1664	1543	*	The Man without a Member	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A father (farmer) has a marriageable daughter who is ignorant about (afraid of) sex. He finds a husband for her who claims to have no penis. This man sleeps with her & entertains her with his “curry-comb” (“comb” or some other word for his penis) so successfully that she becomes too demanding for him. He tells her that he does not have his curry-comb any more (he had only borrowed it & had to give it back, etc.). She gives him money (he borrows it from her) to go to the market & buy a new one. After he leaves her (is sent away by her father because she became pregnant), she goes after him & asks him to leave her his curry-comb. He pretends to cut off his penis, but instead puts a stone in water & says that that is his comb. She asks a passerby (monk, her father) to get it out of the water. When the passerby takes off his clothes, she discovers “her” curry-comb hanging between his legs & grabs hold of it (tears it off).
1665	1543	A	The Greedy Dreamer	Anecdotes & Jokes (1200-1999)	1525-1639 Clever Man	A man dreams that he has nine coins (bills). He demands ten (he wants to change the bills into gold). He wakes up & realizes that he had been dreaming. He regrets that he did not accept the nine coins (the bills). In Arabic variants the greedy man dreams that he is trying to sell his sheep (hogs) for eight dirhams (100 denari) each. A customer offers to pay him half of that. When he wakes up & sees no money, he closes his eyes & says, “At least give me four”.
