idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
1720	1567	E	Lygar hungraða mannsins	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Lærlingur lýgur um nískan húsbónda sinn (oft fyrir framan annað fólk). Húsbóndinn gefur lærlingnum meiri mat (hrísgrjón, baunir, egg) til að þagga niður í honum. Þannig missir húsbóndinn fjársjóðinn sinn.
1721	1567	F	Hungraður hirðir	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Hungraður fjárhirðir er ekki boðið að borða af húsbónda sínum. Hann segir frá kú (geit) með fjóra spena sem bar fimm kálfa (kiðlinga). Fólkið spyr hvað fimmti kálfurinn geri á meðan hinir fjórir eru að sjúga. Fjárhirðirinn segir: „Hann horfir bara á mig núna.“ Hann er síðan boðið að taka þátt í máltíðinni.
1722	1567	G	Lagið „Góð matarbreyting“	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Verkamenn sem ráðnir eru í tímabundið starf (þresking, sláttur, trévinna) kvarta yfir matnum sínum í söng (t.d. SVO-ÚP, SVO-ÚP, SVO-ÚP) og hægja á sér í vinnunni. Daginn eftir gefur húsbóndinn þeim betri mat. Þeir breyta söngnum sínum til að endurspegla þetta (BRAUÐ-KJÖT-OG-PÚÐINGUR-LÍKA, BRAUÐ-KJÖT-OG-PÚÐINGUR-LÍKA) og vinna hraðar.
1723	1567	H	Stóri og smái fiskurinn	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Tveir menn kaupa fisk af fiskkaupmanni sem á aðeins einn stóran og einn lítinn fisk. Við kvöldmatinn tekur annar mannanna stóra fiskinn sjálfur og útskýrir fyrir maka sínum að góður gestgjafi myndi að sjálfsögðu aðeins taka minni hlutann.
1724	1568	*	Húsbóndinn og vinnumaðurinn við borðið	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Bóndi og vinnumenn hans taka sér mat úr venjulegum diski. Bóndinn setur diskinn alltaf þannig að besti kjötbitinn sé nálægt bóndanum. Þegar vinnumaðurinn kemur snemma að borðinu, er enginn í herberginu, svo hann færir diskinn til að koma besta skammtinum nálægt sínum stað. Bóndinn sér hvað hann gerði, tekur upp diskinn og segir: „Þessi diskur kostaði einu sinni einn þaler“ og færir hann aftur á sinn venjulega stað. Áður en hann getur stungið í kjötið tekur vinnumaðurinn upp diskinn, segir: „Og það er þess enn virði í dag“ og færir diskinn aftur nálægt sínum stað. Í sumum útgáfum fær bóndinn (presturinn) bestu bitana (t.d. brauðhleifa, smjör) úr venjulegum diski með því að spyrja hina matargesti hvort þeir viti í hvaða átt sólin (tunglið) snýst. Hann snýr diskinum til hægri eða vinstri til að færa besta hlutann nálægt sér. Þegar diskurinn er kominn á sinn stað segir vinnumaðurinn: „Og þá byrjar þrumuveður“ og stingur hnefanum í diskinn (og stingur diskinn í höfuð bóndans).
1725	1568	**	Deilan milli meistarans og nemandans	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Snöggur klæðskeri límir alla kjötbitana saman. Þegar máltíðin er borin fram tekur hann fyrsta skammtinn og allt kjötið lendir á diski hans. Hann tilkynnir: „Það sem Guð hefur tengt saman, má enginn maður aðskilja.“ Svöngu lærlingarnir hyggjast hefna sín. Þeir segja viðskiptavini að húsbóndi þeirra vinni vel en skap hans sé óútreiknanlegt: hann slær oft í borðið með hnefanum og æsist síðan upp. Áður en klæðskerinn sker efnið, slær hann í borðið til að láta skærin hoppa svo hann geti heyrt hvar þau eru og fundið þau. Viðskiptavinurinn heldur að klæðskerinn ætli að ráðast á hann og ver sig með því að grípa um hálsinn á klæðskeranum og berjast. Klæðskerinn kallar á lærlinga sína til aðstoðar en þeir svara: „Það sem Guð hefur tengt saman, má enginn maður aðskilja.“
1726	1569	**	Að klæða þjóninn	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Húsbóndi samþykkir að klæða þjón (þ.e. sjá honum fyrir fötum) á hans kostnað. Þjónninn krefst þess að skilyrðið sé uppfyllt bókstaflega, að húsbóndinn klæði hann.
1727	1570	*	"Gljúfur hljóðlega"	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Hermaður (gestur) sem gistir þar yfir nóttina borðar upp heilan disk af mat. Hann spyr húsmóðurina hvað þessi ljúffengi matur heiti. Hún svarar: „Gleyptu í þig í hljóði.“ Hermaðurinn segir: „Vinsamlegast gefðu mér meira af þessum gleypi – í hljóði.“
1728	1571	*	Þjónar refsa húsbónda sínum	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Húsbóndi felur sig til að fylgjast með vinnufólki sínu við störf. Vinnufólkið uppgötvar hann njósnara, þykist vera þjófur og berur hann. Hann ver sig með því að segjast vera húsbóndinn. Þeir láta eins og hann hafi sagt eitthvað annað og halda áfram að berja hann.
1729	1571	**	Hinn hrokafulli þjónn	Sögur og brandarar (1200-1999)	1525-1639 Snjall maður	Þjónn stærir sig af því að hafa skammað húsbónda sinn, en hann gerir það í leyni svo að húsbóndinn heyri það ekki.
